
Øygarden	60°36′39″N	04°49′29″E
Askøy	60°28′17″N	05°09′38″E
Vaksdal	60°36′25″N	05°48′58″E
Modalen	60°52′50″N	05°55′31″E
Osterøy	60°31′05″N	05°32′29″E
Alver	60°40′00″N	05°20′00″E
Austrheim	60°46′16″N	04°55′34″E
Fedje	60°46′08″N	04°43′50″E
Masfjorden	60°50′18″N	05°26′55″E
Gulen	61°01′27″N	05°07′10″E
Solund	61°07′51″N	04°56′52″E
Hyllestad	61°10′15″N	05°17′35″E
Høyanger	61°11′17″N	05°53′44″E
Vik	61°03′25″N	06°34′41″E
Sogndal	61°14′32″N	07°03′18″E
Aurland	60°52′05″N	07°14′36″E
Lærdal	61°03′04″N	07°35′52″E
Årdal	61°17′29″N	07°47′53″E
Luster	61°29′38″N	07°19′46″E
Askvoll	61°24′21″N	05°14′32″E
Fjaler	61°18′22″N	05°27′48″E
Sunnfjord	61°27′08″N	5°51′26″E
Bremanger	61°48′31″N	05°25′15″E
Stad	61°54′41″N	6°02′14″E
Gloppen	61°44′38″N	06°10′14″E
Stryn	61°50′19″N	06°51′46″E
Trondheim	63°25′47″N	10°23′36″E
Steinkjer	64°03′29″N	11°43′08″E
Namsos	64°29′38″N	11°30′42″E
Frøya	63°43′32″N	08°44′39″E
Osen	64°17′52″N	10°30′48″E
Oppdal	62°34′25″N	09°36′32″E
Rennebu	62°49′51″N	09°52′28″E
Røros	62°34′27″N	11°22′59″E
Holtålen	62°52′07″N	11°16′38″E
Midtre Gauldal	62°55′16″N	10°30′02″E
Melhus	63°10′35″N	10°18′13″E
Skaun	63°16′53″N	10°03′19″E
Malvik	63°22′22″N	10°45′03″E
Selbu	63°11′54″N	11°08′25″E
Tydal	63°01′06″N	11°48′54″E
Meråker	63°26′17″N	11°50′58″E
Stjørdal	63°28′30″N	11°10′15″E
Frosta	63°36′14″N	10°46′28″E
Levanger	63°39′17″N	11°15′37″E
Verdal	63°47′53″N	11°56′57″E
Snåsa	64°13′28″N	12°37′31″E
Lierne	64°22′34″N	13°36′35″E
Røyrvik	64°55′15″N	13°39′03″E
Namsskogan	64°52′19″N	12°58′35″E
Grong	64°31′53″N	12°37′12″E
Høylandet	64°43′27″N	12°20′02″E
Overhalla	64°30′28″N	11°53′38″E
Flatanger	64°25′11″N	10°54′28″E
Leka	65°05′17″N	11°37′01″E
Inderøy	63°53′58″N	11°13′12″E
Indre Fosen	63°38′38″N	10°11′13″E
Heim	63°17′26″N	9°05′21″E
Hitra	63°32′50″N	08°51′17″E
Ørland	63°47′N	09°48′E
Åfjord	63°58′40″N	10°23′08″E
Orkland	63°18′24″N	9°51′01″E
Nærøysund	64°50′21″N	11°27′39″E
Rindal	63°02′32″N	09°17′22″E
Tromsø	69°40′58″N	18°56′34″E
Harstad	68°48′00″N	16°32′45″E
Alta	69°58′36″N	23°17′45″E
Vardø	70°22′14″N	31°01′27″E
Vadsø	70°04′24″N	29°44′59″E
Hammerfest	70°39′45″N	23°41′00″E
Kvæfjord	68°42′07″N	16°08′49″E
Tjeldsund	68°29′04″N	16°17′33″E
Ibestad	68°49′46″N	17°14′45″E
Gratangen	68°41′24″N	17°32′30″E
Lavangen	68°39′28″N	17°35′01″E
Bardu	68°51′51″N	18°21′10″E
Salangen	68°54′02″N	17°53′35″E
Målselv	68°58′30″N	19°03′52″E
Sørreisa	69°05′31″N	18°11′37″E
Dyrøy	69°04′01″N	17°44′29″E
Senja	69°04′50″N	16°48′11″E
Balsfjord	69°18′17″N	19°12′13″E
Karlsøy	70°07′48″N	19°25′51″E
Lyngen	69°41′25″N	20°04′54″E
Storfjord	69°16′43″N	20°17′12″E
Kåfjord	69°36′14″N	20°31′57″E
